,tconst,movie,runtime_minutes,genres,average_rating,release_date,production_budget,domestic_gross,worldwide_gross,Collections,Profit,release_year,Month,release_month,release_season,release_quarter
2525,tt2848292,pitchperfect2,115,"Comedy,Music",6.4,2015-05-15,29000000,184296230,287625468,471921698,442921698,2015,May,5,spring,Q2
119,tt0837562,hoteltransylvania,91,"Animation,Comedy,Family",7.1,2012-09-28,85000000,148313048,378505812,526818860,441818860,2012,September,9,Fall,Q3
2959,tt4465564,fiftyshadesdarker,118,"Drama,Romance",4.6,2017-02-10,55000000,114434010,381398492,495832502,440832502,2017,February,2,winter/holiday,Q1
2517,tt2802144,kingsmanthesecretservice,129,"Action,Adventure,Comedy",7.7,2015-02-13,94000000,128261724,404561724,532823448,438823448,2015,February,2,winter/holiday,Q1
855,tt1457767,theconjuring,112,"Horror,Mystery,Thriller",7.5,2013-07-19,20000000,137400141,318000141,455400282,435400282,2013,July,7,summer,Q3
743,tt1430132,thewolverine,126,"Action,Adventure,Sci-Fi",6.7,2013-07-26,115000000,132556852,416456852,549013704,434013704,2013,July,7,summer,Q3
2015,tt2224026,home,94,"Adventure,Animation,Comedy",6.6,2015-03-27,130000000,177397510,385997896,563395406,433395406,2015,March,3,spring,Q1
3056,tt5052448,getout,104,"Horror,Mystery,Thriller",7.7,2017-02-24,5000000,176040665,255367951,431408616,426408616,2017,February,2,winter/holiday,Q1
886,tt1478338,bridesmaids,125,"Comedy,Romance",6.8,2011-05-13,32500000,169211718,289632023,458843741,426343741,2011,May,5,spring,Q2
155,tt0947798,blackswan,108,"Drama,Thriller",8.0,2010-12-03,13000000,106954678,331266710,438221388,425221388,2010,December,12,winter/holiday,Q4
2433,tt2582846,thefaultinourstars,126,"Drama,Romance",7.7,2014-06-06,12000000,124872350,307166834,432039184,420039184,2014,June,6,summer,Q2
1110,tt1590245,wonder,74,"Comedy,Drama,Horror",4.9,2017-11-17,20000000,132422809,304604712,437027521,417027521,2017,November,11,Fall,Q4
2960,tt4477536,fiftyshadesfreed,105,"Drama,Romance,Thriller",4.5,2018-02-09,55000000,100407760,371350619,471758379,416758379,2018,February,2,winter/holiday,Q1
1537,tt1790864,themazerunner,113,"Action,Mystery,Sci-Fi",6.8,2014-09-19,34000000,102427862,348319861,450747723,416747723,2014,September,9,Fall,Q3
3061,tt5117670,peterrabbit,95,"Adventure,Animation,Comedy",6.6,2018-02-09,50000000,115234093,347136477,462370570,412370570,2018,February,2,winter/holiday,Q1
2447,tt2660118,split,90,"Comedy,Romance,Sport",2.9,2017-01-20,5000000,138141585,278964806,417106391,412106391,2017,January,1,winter/holiday,Q1
2153,tt2231461,rampage,107,"Action,Adventure,Sci-Fi",6.1,2018-04-13,120000000,101028233,428056280,529084513,409084513,2018,April,4,spring,Q2
42,tt0458339,captainamericathefirstavenger,124,"Action,Adventure,Sci-Fi",6.9,2011-07-22,140000000,176654505,370569776,547224281,407224281,2011,July,7,summer,Q3
201,tt0993846,thewolfofwallstreet,180,"Biography,Crime,Drama",8.2,2013-12-25,100000000,116900694,389870414,506771108,406771108,2013,December,12,winter/holiday,Q4
2906,tt4116284,thelegobatmanmovie,104,"Action,Animation,Comedy",7.3,2017-02-10,80000000,175750384,310660018,486410402,406410402,2017,February,2,winter/holiday,Q1
2994,tt4649466,kingsmanthegoldencircle,141,"Action,Adventure,Comedy",6.8,2017-09-22,104000000,100234838,408803696,509038534,405038534,2017,September,9,Fall,Q3
925,tt1502407,halloween,106,"Horror,Thriller",6.6,2018-10-19,10000000,159342015,254900667,414242682,404242682,2018,October,10,Fall,Q4
843,tt1446714,prometheus,124,"Adventure,Mystery,Sci-Fi",7.0,2012-06-08,125000000,126477084,402448265,528925349,403925349,2012,June,6,summer,Q2
1820,tt2004420,neighbors,97,Comedy,6.3,2014-05-09,18000000,150086800,270944428,421031228,403031228,2014,May,5,spring,Q2
1173,tt1615918,alvinandthechipmunkschipwrecked,87,"Adventure,Animation,Comedy",4.4,2011-12-16,80000000,133107389,349088523,482195912,402195912,2011,December,12,winter/holiday,Q4
2228,tt2279373,thespongebobmoviespongeoutofwater,92,"Adventure,Animation,Comedy",6.0,2015-02-06,74000000,162994032,311013181,474007213,400007213,2015,February,2,winter/holiday,Q1
2734,tt3402236,murderontheorientexpress,114,"Crime,Drama,Mystery",6.5,2017-11-10,55000000,102826543,345922730,448749273,393749273,2017,November,11,Fall,Q4
3062,tt5140878,annabellecreation,109,"Horror,Mystery,Thriller",6.5,2017-08-11,15000000,102092201,305384865,407477066,392477066,2017,August,8,summer,Q3
27,tt0443272,lincoln,150,"Biography,Drama,History",7.4,2012-11-09,65000000,182207973,273346281,455554254,390554254,2012,November,11,Fall,Q4
703,tt1403865,truegrit,110,"Adventure,Drama,Western",7.6,2010-12-22,35000000,171243005,252276928,423519933,388519933,2010,December,12,winter/holiday,Q4
1471,tt1735898,snowwhiteandthehuntsman,127,"Action,Adventure,Drama",6.1,2012-06-01,170000000,155136755,401021746,556158501,386158501,2012,June,6,summer,Q2
1311,tt1670345,nowyouseeme,115,"Crime,Mystery,Thriller",7.3,2013-05-31,75000000,117723989,342769200,460493189,385493189,2013,May,5,spring,Q2
3158,tt6966692,greenbook,130,"Biography,Comedy,Drama",8.3,2018-11-16,23000000,85080171,322034439,407114610,384114610,2018,November,11,Fall,Q4
3055,tt5028340,marypoppinsreturns,130,"Comedy,Family,Fantasy",6.9,2018-12-19,130000000,171958438,341528518,513486956,383486956,2018,December,12,winter/holiday,Q4
