movie,release_date,production_budget,domestic_gross,worldwide_gross
life of pi,2012-11-21,120000000,124987022,620912003
ghost rider,2007-02-16,120000000,115802596,229545589
rampage,2018-04-13,120000000,101028233,428056280
charlie's angels: full throttle,2003-06-27,120000000,100814328,227200000
elysium,2013-08-09,120000000,93050117,286192091
oblivion,2013-04-19,120000000,89107235,287916633
power rangers,2017-03-24,120000000,85364450,142531552
stuart little 2,2002-07-19,120000000,64956806,166000000
robocop,2014-02-12,120000000,58607007,242981799
the chronicles of riddick,2004-06-11,120000000,57712751,107212751
fantastic four,2015-08-07,120000000,56117548,167849187
speed racer,2008-05-09,120000000,43945766,93394462
the island,2005-07-22,120000000,35818913,163018913
how do you know?,2010-12-17,120000000,30212620,49628177
knight and day,2010-06-23,117000000,76423035,258751370
venom,2018-10-05,116000000,213511408,853628605
star wars ep. i: the phantom menace,1999-05-19,115000000,474544677,1027044677
star wars ep. iii: revenge of the sith,2005-05-19,115000000,380270577,848998877
star wars ep. ii: attack of the clones,2002-05-16,115000000,310676740,656695615
"monsters, inc.",2001-11-02,115000000,289423425,559757719
the wolverine,2013-07-26,115000000,132556852,416456852
dante's peak,1997-02-07,115000000,67163857,178200000
the huntsman: winterâs war,2016-04-22,115000000,48003015,165149302
windtalkers,2002-06-14,115000000,40914068,77628265
astã©rix aux jeux olympiques,2008-07-04,113500000,999811,132999811
gulliver's travels,2010-12-25,112000000,42779261,232017848
ferdinand,2017-12-15,111000000,84410380,289847930
deadpool 2,2018-05-18,110000000,324591735,786680557
gravity,2013-10-04,110000000,274092705,693698673
night at the museum,2006-12-22,110000000,250863268,579446407
mr. and mrs. smith,2005-06-10,110000000,186336279,486124090
san andreas,2015-05-29,110000000,155190832,456258539
the smurfs,2011-07-29,110000000,142614158,563749323
live free or die hard,2007-06-27,110000000,134529403,382288147
the divergent series: insurgent,2015-03-20,110000000,130179072,295075882
ocean's twelve,2004-12-10,110000000,125531634,362989076
tomorrow never dies,1997-12-19,110000000,125304276,339504276
the patriot,2000-06-28,110000000,113330342,215300000
300: rise of an empire,2014-03-07,110000000,106580051,330780051
the aviator,2004-12-17,110000000,102608827,208370892
passengers,2016-12-21,110000000,100014699,302239672
the green hornet,2011-01-14,110000000,98780042,229155503
miss peregrineâs home for peculiar children,2016-09-30,110000000,87242834,295986876
real steel,2011-10-07,110000000,85463309,263880341
the a-team,2010-06-11,110000000,77222099,177241171
the smurfs 2,2013-07-31,110000000,71017784,348547523
the divergent series: allegiant,2016-03-18,110000000,66184051,172022517
the taking of pelham 123,2009-06-12,110000000,65452312,152364370
ender's game,2013-11-01,110000000,61737191,127983283
home on the range,2004-04-02,110000000,50026353,76482461
speed 2: cruise control,1997-06-13,110000000,48097081,150468000
kingdom of heaven,2005-05-06,110000000,47398413,218853353
ghost in the shell,2017-03-31,110000000,40563557,167910690
around the world in 80 days,2004-06-16,110000000,24004159,72004159
men in black: international,2019-06-14,110000000,3100000,3100000
the lord of the rings: the fellowship of the ring,2001-12-19,109000000,315544750,887210985
the cat in the hat,2003-11-21,109000000,101018283,133818283
ali,2001-12-25,109000000,58183966,87683966
the martian,2015-10-02,108000000,228433663,655271443
allied,2016-11-23,106000000,40098064,119266661
"i, robot",2004-07-16,105000000,144801023,348629585
stuart little,1999-12-17,105000000,140015224,298815224
the princess and the frog,2009-11-25,105000000,104400899,270997378
"10,000 b.c.",2008-03-07,105000000,94784201,269065678
ice age: collision course,2016-07-22,105000000,64063008,402156682
town & country,2001-04-27,105000000,6712451,10364769
kingsman: the golden circle,2017-09-22,104000000,100234838,408803696
gone in 60 seconds,2000-06-09,103300000,101643008,232643008
gladiator,2000-05-05,103000000,187683805,457683805
the hangover 3,2013-05-23,103000000,112200072,362000072
a wrinkle in time,2018-03-09,103000000,100478608,133401882
public enemies,2009-07-01,102500000,97104620,212282709
casino royale,2006-11-17,102000000,167365000,594420283
minority report,2002-06-21,102000000,132024714,358824714
bumblebee,2018-12-21,102000000,127195589,465195589
cloud atlas,2012-10-26,102000000,27108272,130673154
harry potter and the chamber of secrets,2002-11-15,100000000,262233381,879225135
terminator 2: judgment day,1991-07-02,100000000,203464105,515419827
batman forever,1995-06-16,100000000,184031112,336529144
planet of the apes,2001-07-27,100000000,180011740,362211740
national treasure,2004-11-19,100000000,173005002,331323410
django unchained,2012-12-25,100000000,162805434,449948323
little fockers,2010-12-22,100000000,148438600,310650574
true lies,1994-07-15,100000000,146282411,365300000
american gangster,2007-11-02,100000000,130164645,267985456
cloudy with a chance of meatballs,2009-09-18,100000000,124870275,236827677
the other guys,2010-08-06,100000000,119219978,170936470
lemony snicket's a series of unfortunate events,2004-12-17,100000000,118627117,212956024
the wolf of wall street,2013-12-25,100000000,116900694,389870414
epic,2013-05-24,100000000,107518682,262794441
eraser,1996-06-21,100000000,101295562,234400000
the hunchback of notre dame,1996-06-21,100000000,100138851,325500000
the emperor's new groove,2000-12-15,100000000,89296573,169296573
the expendables 2,2012-08-17,100000000,85028192,311979256
where the wild things are,2009-10-16,100000000,77233467,99123656
eragon,2006-12-15,100000000,75030163,249488115
hercules,2014-07-25,100000000,72688614,243388614
the tourist,2010-12-10,100000000,67631157,278731369
end of days,1999-11-24,100000000,66889043,212026975
the stepford wives,2004-06-11,100000000,59475623,96221971
surf's up,2007-06-08,100000000,58867694,145395745
blood diamond,2006-12-08,100000000,57377916,171377916
legend of the guardians: the owls of ga'hoole,2010-09-24,100000000,55675313,139716717
